Field=Description~String~Description~75|Field=Designator~String~Designator~75|Field=Manufacturer Part Number~String~Manufacturer Part Number~75|Field=Quantity~Integer~Quantity~75|Field=Supplier 1~String~Supplier 1~75|Field=Supplier 2~String~Supplier 2~20|Field=Supplier 3~String~Supplier 3~20|Field=Supplier Part Number 1~String~Supplier Part Number 1~125|Field=Supplier Part Number 2~String~Supplier Part Number 2~20|Field=Supplier Part Number 3~String~Supplier Part Number 3~20|Field=Supplier Stock 1~Integer~Supplier Stock 1~115|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~59|Field=Value~String~Value~20|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Tel_GPRS_BT-V1_Rev1.PrjPcb|ReportField=ProjectFullPath~D:\Documents and Settings\Administrator\Desktop\Telemetria GPRS Bluetoot MP V1_0 Rev1\PCB_Tel_GPRS_BT-V1_Rev1.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Tel_GPRS_BT-V1_Rev1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~132|ReportField=ReportTime~13:25:18|ReportField=ReportDate~03/26/2018|ReportField=ReportDateTime~03/26/2018 13:25:18|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~M. en C. Fernando Bolaños|ReportField=Author~M. en C. José Alberto Balderas Castillo (CID)|ReportField=CheckedBy~M. en C. José Alberto Balderas Castillo (CID)|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=FechaAprobacion~16-Junio-2015|ReportField=FechaDiseno~02-Junio-2015|ReportField=FechaRevision~05-Junio-2015|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=NombreBloque~Diagrama a Bloques|ReportField=NombreProyecto~Telemetria GPRS de Bajo Consumo de Energia|ReportField=NombreTarjeta~TELCOMGPRS-v1|ReportField=NumeroDeHoja~1 de 7|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~v1|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=TamanoHoja~Carta|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Tel_GPRS_BT-V1_Rev1.PrjPcb|ReportField=DataSourceFullPath~D:\Documents and Settings\Administrator\Desktop\Telemetria GPRS Bluetoot MP V1_0 Rev1\PCB_Tel_GPRS_BT-V1_Rev1.PrjPcb
DIODE SCHOTTKY 1A 20V SOD-323|U8D1, U12D1, U12D2|NSR0320MW2T1G|3|Digi-Key|||NSR0320MW2T1GOSCT-ND|||93230|0.39|
'6 Position Card Connector Micro SIM Surface Mount, Right Angle Gold|U14_A|0786463001|1|Digi-Key|Mouser||WM9364CT-ND|538-78646-3001||0|1.08|
RES SMD 15K OHM 1% 1/8W 0805|U14R1|ERJ-6ENF1502V|1|Digi-Key|||P15.0KCCT-ND|||295310|0.10|15KO
RES SMD 22 OHM 1% 1/8W 0805|U14R2, U14R3, U14R4|ERJ-6ENF22R0V|3|Digi-Key|||P22.0CCT-ND|||112055|0.10|22O
33pF 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric) 0.079" L x 0.049" W (2.00mm x 1.25mm)|U14C2, U14C3, U14C4, U14C5|C0805C330J5GACTU|4|Digi-Key|||399-1115-1-ND|||1138|0.10|33pF
6 Position Card Connector SIM Card Surface Mount, Right Angle Gold|U14_B|7111S2015X02LF|1|Digi-Key|||609-1401-1-ND|||10341|1.16|
TVS DIODE 5V 12.5V SC70-6|U14TVS1|SMF05C.TCT|1|Digi-Key|||SMF05CCT-ND|||31588|0.91|
CAP CERAMIC 0.1UF, 25V, X7R, 0603|U6C5, U7C1, U8C1, U9C1, U10C1, U10C2, U10C3, U10C4, U10C5, U11C1, U14C1|CGJ3E2X7R1E104K080AA|11|Digi-Key|||445-8129-1-ND|||2509|0.176|0.1uF
MICRO CRYSTAL - RV-3029-C2 OPTION B - REAL-TIME-CLOCK, SMD, I2C, 32.768KHZ|U8|RV-3029-C2|1|Newark|Mouser||19P2786|428-202115-MG01||||
7X-1.8432MBC-T -  Oscilador, 1.8432 MHz, 100 ppm, SMD, 5mm x 3.2mm, CMOS, 3.3 V, Serie 7X|U6X2|7X-1.8432MBC-T|1|Newark|||29X6515|||||
Capacitor|U1C6|ECA-1EM331B|1|Newark|Mouser||48W7648|667-ECA-1EM331B||||330uF
KINGBRIGHT  L-154A4SURKQBDZGW  LED, RGB, Rojo, Verde, Azul, Through Hole, T-1 3/4 (5mm), 60 °, Abovedada, R 20mA, G 20mA, B 20mA, Common Cathode|U6LED1|L-154A4SURKQBDZGW|1|Newark|||66W1973|||||
Female SMT Straight Connector with Latch and with Polarization WR-MM 8-Pin|U12TAG1|690 367 290 876|1|Wurth Elektronik|||690 367 290 876|||||
WE-PD SMD Shielded Power Inductor 100uH|U1L1|74477020|1|Wurth Elektronik|||74477020|||||100µH
WE-PD2A SMD Power Inductor|U4L1|784774133|1|Wurth Elektronik|||784774133|||||33µH
2.54mm THT Pin Header WR-PHD 3 terminales|JMP Vcc|613 003 111 21|1|Wurth Elektronik|||613 003 111 21|||||
Female SMT Straight Connector with Latch and with Polarization WR-MM 14-Pin|U6_TAG1|690 367 291 476|1|Wurth Elektronik|||690 367 291 476|||||
FERRITE BEAD 1000 OHM .20A 1206|U10L1, U10L2, U10L3, U10L4|74279214|4|Wurth Elektronik|Digi-Key||74279214|732-1627-1-ND||||450 mO
WL-SMCW SMD mono-color chip LED waterclear 0805 Green|U6LED2, U13D1|150080GS75000|2|Wurth Elektronik|Digi-Key|Newark|150080GS75000|732-4983-1-ND|95W3800|||
10 Position Wire to Board Terminal Block Horizontal with Board 0.200" (5.08mm) Through Hole|PWR_RS-232_CONN|6912141100xx|1|Wurth Elektronik|||6912141100xx|||||
WR-CRD Micro SD_Hinge / CONN MICRO SD CARD HINGED TYPE|U9|693072010801|1|Wuth Elekronik|Digi-Key||693072010801|732-3820-1-ND||||
